player_name,team,raptor_box_offense,raptor_box_defense.raptor_box_total,predator_offense,predator_defense,predator_total
Jae Crowder,UTA,-0.124616922,0.82352958,0.698912658,0.610920089,0.631889827,1.242809916
Dante Cunningham,SAS,10.83651549,3.038181058,13.87469655,4.836345986,2.203028555,7.039374541
Dante Cunningham,SAS,-1.465744851,-1.764679689,-3.23042454,-2.460055165,-2.324891921,-4.784947086
Seth Curry,POR,-0.214102048,1.720702951,1.506600903,-0.676116123,2.696336817,2.020220694
Seth Curry,POR,-0.129745817,-0.266202283,-0.3959481,-0.144320445,-0.70803564,-0.852356085
Stephen Curry,GSW,7.930617575,-1.305367378,6.625250196,6.882926378,-0.025825714,6.857100664
Stephen Curry,GSW,7.156678084,-0.094462213,7.062215871,8.486089978,0.864722101,9.35081208
Troy Daniels,PHO,-0.92128413,-1.637621074,-2.558905204,-1.340784431,-1.823359132,-3.164143564
Anthony Davis,NOP,4.205512058,3.412802459,7.618314517,4.307410969,3.020674403,7.328085372
Deyonta Davis,ATL,-3.074097507,2.798761451,-0.275336055,-3.402058962,0.65824078,-2.743818182
Ed Davis,BRK,1.725484385,-3.950613645,-2.22512926,2.733136742,-6.914946777,-4.181810035
Ed Davis,BRK,-0.701855168,0.542986914,-0.158868254,-1.338457222,1.862464979,0.524007757
Tyler Davis,OKC,-32.9681128,56.79321834,23.82510554,-26.93530508,42.98906324,16.05375815
Dewayne Dedmon,ATL,-1.310900239,1.531958757,0.221058518,-0.431952084,1.191371267,0.759419183
Sam Dekker,WAS,-1.690936334,-1.641060333,-3.331996667,-1.205322367,-2.241361984,-3.446684351
Sam Dekker,CLE,-1.169222832,-3.356516563,-4.525739395,-0.763609779,-2.645183449,-3.408793228
Angel Delgado,LAC,-5.934942175,7.071052641,1.136110466,-4.828892919,7.911680878,3.082787958
Matthew Dellavedova,CLE,1.124805898,-2.597408179,-1.472602281,0.148976495,-2.472317335,-2.323340841
Matthew Dellavedova,MIL,-1.494958039,4.12433233,2.629374291,-2.865197333,2.547097041,-0.318100292
Luol Deng,MIN,1.56458307,-0.037783517,1.526799553,1.761771198,0.12987822,1.891649418
DeMar DeRozan,SAS,4.06634611,-0.385977475,3.680368635,1.830885123,-3.040694649,-1.209809527
DeMar DeRozan,SAS,1.661858926,-0.827624371,0.834234555,0.640264906,-0.916405041,-0.276140135
Marcus Derrickson,GSW,7.311700811,0.732942121,8.044642932,4.845190879,-0.388415513,4.456775366
Cheick Diallo,NOP,-1.838532448,-0.340103156,-2.178635605,-1.21891001,-0.75186892,-1.97077893
Hamidou Diallo,OKC,-1.778629962,-0.758736641,-2.537366603,-3.463480684,-0.84275342,-4.306234104
Gorgui Dieng,MIN,-1.045258047,0.859966055,-0.185291991,-0.787916924,1.104471403,0.316554479
Spencer Dinwiddie,BRK,0.070473589,-1.594132208,-1.523658619,-1.064276332,-4.480585273,-5.544861605
Spencer Dinwiddie,BRK,2.890621547,-0.68708337,2.203538177,1.480866393,-0.66145487,0.819411522
Donte DiVincenzo,MIL,-1.502539494,3.01566055,1.513121056,-0.925799623,2.074634512,1.148834889
Luka Doncic,DAL,3.610600708,-0.311389747,3.299210961,3.268718424,-0.529670094,2.73904833
Tyler Dorsey,MEM,1.017533272,-4.065987149,-3.048453877,-0.810846799,-2.997574422,-3.808421222
Tyler Dorsey,ATL,-3.439970586,-3.054967052,-6.494937638,-2.586208633,-3.009062165,-5.595270798
Damyean Dotson,NYK,-1.170193843,-1.74276765,-2.912961493,-1.294236784,-1.523746761,-2.817983545
PJ Dozier,BOS,2.209612267,-1.69414494,0.515467327,0.020552022,-0.830304638,-0.809752616
Goran Dragic,MIA,1.186595301,-1.265034966,-0.078439665,0.985140355,-0.871053663,0.114086693
Andre Drummond,DET,-4.696520713,3.204800884,-1.491719829,-0.003316633,-1.357349568,-1.360666201
Andre Drummond,DET,-0.720172529,3.323524946,2.603352418,1.33819045,3.528537132,4.866727582
